name,class,degree,ring,NetRank,NetShort,HeatDiff,InfoDiff,ring,NetRank,NetShort,HeatDiff,InfoDiff,labels
cg08732375_IGSF3,1,4092,1,0.5960453,2970.615,1.974394,0.2277195,1,0.5960453,1.7739225956277307,1.974394,0.2277195,1
cg08933467_FCRL1,1,4118,1,0.9052999,2347.692,0.3562067,0.2255474,1,0.9052999,0.9066486229105585,0.3562067,0.2255474,1
cg09251328_OAZ3,1,3989,1,0.6496966,2750.015,1.688114,0.2277803,1,0.6496966,1.4667889075452418,1.688114,0.2277803,1
cg09478478_CD1E,1,4336,1,0.8892693,2316.793,0.4449407,0.227218,1,0.8892693,0.8636290226020327,0.4449407,0.227218,1
cg09664215_CD1E,1,4349,1,0.8892984,2319.522,0.4455252,0.2271037,1,0.8892984,0.8674285141468062,0.4455252,0.2271037,1
cg10500219_MED8,1,4336,1,0.8765854,2392.716,0.5118495,0.2260192,1,0.8765854,0.9693339682062336,0.5118495,0.2260192,1
cg10785099_KIF21B,1,4052,1,0.9047052,2278.217,0.3519335,0.2278441,1,0.9047052,0.8099210028764202,0.3519335,0.2278441,1
cg10976626_CD1E,1,4350,1,0.8894517,2365.723,0.4479739,0.2264483,1,0.8894517,0.9317525555026498,0.4479739,0.2264483,1
cg11810135_FCRL1,1,4018,1,0.9053114,2310.242,0.3537226,0.2261239,1,0.9053114,0.854508293723391,0.3537226,0.2261239,1
cg12857074_KIF21B,1,4388,1,0.9064953,2291.414,0.3560897,0.2267407,1,0.9064953,0.8282947258212282,0.3560897,0.2267407,1
cg14166284_HLX,1,4115,1,0.6145629,2888.845,1.878491,0.2275952,1,0.6145629,1.6600770757976986,1.878491,0.2275952,1
cg14172846_CTTNBP2NL,1,3903,1,0.8929349,2296.667,0.4079513,0.2279394,1,0.8929349,0.8356082945587496,0.4079513,0.2279394,1
cg14528147_CTTNBP2NL,1,4303,1,0.8948592,2355.127,0.4150769,0.2271358,1,0.8948592,0.9170001141657411,0.4150769,0.2271358,1
cg16649915_OR2M1P,1,4271,1,0.6788708,2706.467,1.547506,0.2273266,1,0.6788708,1.4061585455841532,1.547506,0.2273266,1
cg17138539_MED8,1,4265,1,0.8757725,2342.731,0.5123189,0.2271743,1,0.8757725,0.8997415955915323,0.5123189,0.2271743,1
cg17240157_PBX1,1,4263,1,0.650203,2771.949,1.696646,0.2273624,1,0.650203,1.49732685094688,1.696646,0.2273624,1
cg17492795_PTPN14,1,4274,1,0.6271698,2853.052,1.817749,0.2273778,1,0.6271698,1.6102437299339794,1.817749,0.2273778,1
cg17876641_KIF21B,1,4288,1,0.9060869,2282.251,0.3549322,0.2270228,1,0.9060869,0.8155374004182371,0.3549322,0.2270228,1
cg17889623_KIF21B,1,3625,1,0.9024705,2281.21,0.3501583,0.2249192,1,0.9024705,0.8140880524159981,0.3501583,0.2249192,1
cg18350545_OR2M1P,1,4171,1,0.6781826,2713.452,1.546594,0.2269167,1,0.6781826,1.415883517530011,1.546594,0.2269167,1
cg18535415_KIF21B,1,3531,1,0.902805,2333.499,0.3539984,0.2214908,1,0.902805,0.8868882038944441,0.3539984,0.2214908,1
cg18964985_OR2M1P,1,4114,1,0.6776391,2711.557,1.547295,0.2276049,1,0.6776391,1.4132451751051858,1.547295,0.2276049,1
cg19322509_MED8,1,4276,1,0.8759633,2344.447,0.5112657,0.2271947,1,0.8759633,0.9021307225577586,0.5112657,0.2271947,1
cg20157003_ANKRD45,1,3976,1,0.6134387,2883.004,1.878055,0.227749,1,0.6134387,1.6519448551626588,1.878055,0.227749,1
cg20944548_GSTM2,1,4322,1,0.7591446,2570.39,1.127658,0.2271586,1,0.7591446,1.216703283239634,1.127658,0.2271586,1
cg21170029_LAMB3,1,4082,1,0.7043987,2651.938,1.405136,0.2277464,1,0.7043987,1.3302397202103997,1.405136,0.2277464,1
cg21218687_KIF21B,1,4319,1,0.9060709,2294.399,0.3585963,0.2269827,1,0.9060709,0.832450637239751,0.3585963,0.2269827,1
cg21406113_KIF21B,1,4184,1,0.9053534,2280.913,0.354825,0.2276465,1,0.9053534,0.8136745496718435,0.354825,0.2276465,1
cg22025570_AJAP1,1,3966,1,0.6173261,2866.703,1.856845,0.2276438,1,0.6173261,1.6292495412486394,1.856845,0.2276438,1
cg22156852_CTTNBP2NL,1,4370,1,0.8953731,2307.43,0.4134751,0.2272998,1,0.8953731,0.8505932441726745,0.4134751,0.2272998,1
cg22448090_KIF21B,1,4384,1,0.9065978,2327.834,0.3573432,0.2262987,1,0.9065978,0.8790010219226069,0.3573432,0.2262987,1
cg23934072_KIF21B,1,4321,1,0.9061469,2335.708,0.359483,0.2251583,1,0.9061469,0.8899637175706648,0.359483,0.2251583,1
cg24344394_FCRL1,1,4008,1,0.9045346,2282.444,0.3518719,0.227736,1,0.9045346,0.8158061075886807,0.3518719,0.227736,1
cg25132662_TGFB2,1,4297,1,0.6126812,2926.301,1.895135,0.2270703,1,0.6126812,1.7122257585756575,1.895135,0.2270703,1
cg25196088_CAMTA1,1,4104,1,0.6443687,2766.263,1.721448,0.2277116,1,0.6443687,1.489410431407274,1.721448,0.2277116,1
cg25378117_FCGR2A,1,4075,1,0.7849572,2509.07,0.9846368,0.2269097,1,0.7849572,1.1313295853555991,0.9846368,0.2269097,1
cg25969983_KIF21B,1,4338,1,0.9062345,2281.394,0.3549093,0.2273231,1,0.9062345,0.8143442292002551,0.3549093,0.2273231,1
cg26014409_CD1E,1,3776,1,0.8857378,2335.581,0.4469314,0.2268539,1,0.8857378,0.8897868998989221,0.4469314,0.2268539,1
cg26800202_KIF21B,1,4183,1,0.9054558,2276.035,0.3543532,0.2274237,1,0.9054558,0.806883080358759,0.3543532,0.2274237,1
cg27386431_KIF21B,1,4145,1,0.905423,2328.668,0.3554866,0.2250127,1,0.905423,0.8801621710425565,0.3554866,0.2250127,1
cg27578319_KIF21B,1,4167,1,0.9053588,2283.269,0.3542932,0.2269438,1,0.9053588,0.816954726322443,0.3542932,0.2269438,1
cg00116699_HDAC4,1,4255,1,0.5918124,3020.327,2.002836,0.2273019,1,0.5918124,1.8431348798614426,2.002836,0.2273019,1
cg00372692_ICOS,1,4401,1,0.8437729,2412.613,0.6876063,0.2258543,1,0.8437729,0.9970358675343264,0.6876063,0.2258543,1
cg00554973_BCL2L11,1,4268,1,0.8852808,2325.787,0.4627325,0.2275016,1,0.8852808,0.8761510551977435,0.4627325,0.2275016,1
cg00744739_PRR21,1,4005,1,0.5987628,2960.659,1.957065,0.2274702,1,0.5987628,1.760061203975196,1.957065,0.2274702,1
cg00908117_LTBP1,1,2202,1,0.7028248,2522.857,1.380002,0.2279972,1,0.7028248,1.1505247447281883,1.380002,0.2279972,1
cg01159793_MYEOV2,1,4256,1,0.6203601,2884.805,1.852792,0.2272126,1,0.6203601,1.6544523246650908,1.852792,0.2272126,1
cg01196744_COLEC11,1,4083,1,0.632458,2803.821,1.782917,0.2277177,1,0.632458,1.5417011252286799,1.782917,0.2277177,1
cg01268021_LTBP1,1,4371,1,0.7062438,2668.773,1.406686,0.2271921,1,0.7062438,1.353678503704818,1.406686,0.2271921,1
cg01472363_ZNF2,1,4278,1,0.8750823,2348.009,0.5175546,0.2270598,1,0.8750823,0.9070899709573498,0.5175546,0.2270598,1
cg01579629_NGEF,1,4092,1,0.6304488,2815.083,1.79341,0.2277499,1,0.6304488,1.5573808151433899,1.79341,0.2277499,1
cg01585592_ZNF2,1,4303,1,0.8751282,2347.491,0.5170531,0.2274012,1,0.8751282,0.9063687776190599,0.5170531,0.2274012,1
cg01590866_LTBP1,1,4386,1,0.7063648,2670.516,1.406763,0.2272634,1,0.7063648,1.356105221829604,1.406763,0.2272634,1
cg01681351_TPO,1,4248,1,0.6548004,2766.428,1.673608,0.2263096,1,0.6548004,1.4896401551540266,1.673608,0.2263096,1
cg01879273_AGAP1,1,3749,1,0.5456288,3143.314,2.222596,0.2280051,1,0.5456288,2.014365391630259,2.222596,0.2280051,1
cg01929367_MYEOV2,1,4151,1,0.6864883,2685.032,1.501922,0.2276133,1,0.6864883,1.3763153424833003,1.501922,0.2276133,1
cg01930460_ZNF2,1,3905,1,0.8729003,2331.998,0.5127284,0.2275024,1,0.8729003,0.8847984139315622,0.5127284,0.2275024,1
cg02489219_C2orf66,1,4174,1,0.8205478,2450.88,0.8012912,0.2273193,1,0.8205478,1.0503136773342026,0.8012912,0.2273193,1
cg02609263_LTBP1,1,3130,1,0.7004222,2619.314,1.393191,0.226027,1,0.7004222,1.2848184625494605,1.393191,0.226027,1
cg03071146_ASB3,1,3988,1,0.8986194,2338.566,0.3865183,0.2265039,1,0.8986194,0.8939428113174449,0.3865183,0.2265039,1
cg03147598_IMP4,1,4237,1,0.6537314,2786.71,1.677653,0.2271383,1,0.6537314,1.5178780765578757,1.677653,0.2271383,1
cg03172098_LTBP1,1,4030,1,0.7047227,2647.629,1.40248,0.2277649,1,0.7047227,1.3242404497573286,1.40248,0.2277649,1
cg03347837_TPO,1,4219,1,0.6382581,2797.354,1.758645,0.227395,1,0.6382581,1.532697346621112,1.758645,0.227395,1
cg03893913_SNTG2,1,4162,1,0.6253251,2847.426,1.823617,0.2273202,1,0.6253251,1.6024108463022835,1.823617,0.2273202,1
cg04745820_LTBP1,1,3874,1,0.7034463,2647.397,1.402014,0.2269217,1,0.7034463,1.3239174442467432,1.402014,0.2269217,1
cg06223562_BCL2L11,1,4407,1,0.8858807,2337.288,0.4672506,0.2270672,1,0.8858807,0.8921634964789619,0.4672506,0.2270672,1
cg06284438_C2orf66,1,4198,1,0.8208331,2452.6,0.7983403,0.2275515,1,0.8208331,1.0527083733609561,0.7983403,0.2275515,1
cg06492287_SNTG2,1,4300,1,0.6371819,2809.688,1.766763,0.2271825,1,0.6371819,1.5498695447571478,1.766763,0.2271825,1
cg07020453_TSSC1,1,4171,1,0.6732167,2711.369,1.572364,0.2275494,1,0.6732167,1.4129834292604015,1.572364,0.2275494,1
cg07119076_LTBP1,1,4299,1,0.7059404,2664.744,1.405576,0.2273178,1,0.7059404,1.3480690674886606,1.405576,0.2273178,1
cg07895807_LTBP1,1,4271,1,0.7059026,2666.609,1.408373,0.2272079,1,0.7059026,1.35066564195953,1.408373,0.2272079,1
cg08175640_LTBP1,1,4142,1,0.7049502,2655.412,1.409054,0.2273445,1,0.7049502,1.335076449278389,1.409054,0.2273445,1
cg08808959_HDAC4,1,4227,1,0.6301228,2833.72,1.800144,0.227463,1,0.6301228,1.5833284604053721,1.800144,0.227463,1
cg08818866_LTBP1,1,3801,1,0.7071428,2613.099,1.398757,0.2271071,1,0.7071428,1.276165534755115,1.398757,0.2271071,1
cg09677007_AGAP1,1,4109,1,0.5640103,3120.347,2.142907,0.2276563,1,0.5640103,1.9823892383474377,2.142907,0.2276563,1
cg10755516_ZNF2,1,4301,1,0.8752196,2346.079,0.5175606,0.227423,1,0.8752196,0.9044028992529112,0.5175606,0.227423,1
cg11865223_LTBP1,1,4161,1,0.7054926,2666.025,1.407212,0.2261153,1,0.7054926,1.3498525591225394,1.407212,0.2261153,1
cg11918450_LTBP1,1,3665,1,0.7027229,2642.072,1.400977,0.226646,1,0.7027229,1.3165036324197295,1.400977,0.226646,1
cg11938080_GNLY,1,4104,1,0.8623422,2366.393,0.5785804,0.226707,1,0.8623422,0.9326853731409784,0.5785804,0.226707,1
cg12210094_LTBP1,1,4266,1,0.7056689,2666.086,1.406437,0.2274283,1,0.7056689,1.3499374872955807,1.406437,0.2274283,1
cg12815355_C2orf3,1,4210,1,0.5819922,3050.508,2.052855,0.2274595,1,0.5819922,1.8851548338053115,2.052855,0.2274595,1
cg12915585_MYT1L,1,3545,1,0.5487205,3086.23,2.201741,0.2275558,1,0.5487205,1.9348893288446711,2.201741,0.2275558,1
cg12924525_TSSC1,1,4331,1,0.6414137,2798.002,1.74534,0.2272909,1,0.6414137,1.5335995344265403,1.74534,0.2272909,1
cg13265607_LTBP1,1,3937,1,0.7046173,2764.991,1.406265,0.2153842,1,0.7046173,1.4876394701595819,1.406265,0.2153842,1
cg13603214_GNLY,1,3707,1,0.8666213,2339.841,0.5713982,0.2228291,1,0.8666213,0.8957179493605328,0.5713982,0.2228291,1
cg13652008_LTBP1,1,2964,1,0.6983793,2621.976,1.393696,0.2250411,1,0.6983793,1.2885246723304018,1.393696,0.2250411,1
cg13858407_SH3BP4,1,3793,1,0.62241,2824.604,1.830135,0.2280005,1,0.62241,1.570636571463577,1.830135,0.2280005,1
cg14392843_LTBP1,1,4390,1,0.7063688,2667.641,1.406878,0.2272883,1,0.7063688,1.3521024595755824,1.406878,0.2272883,1
cg14475035_BCL2L11,1,2884,1,0.877857,2252.89,0.4475528,0.2284141,1,0.877857,0.7746591038824707,0.4475528,0.2284141,1
cg14685946_ACSL3,1,4285,1,0.6322539,2830.41,1.791529,0.2272429,1,0.6322539,1.578720062819003,1.791529,0.2272429,1
cg14880257_MYT1L,1,4181,1,0.6228776,2861.777,1.837148,0.2272884,1,0.6228776,1.6223912432092273,1.837148,0.2272884,1
cg14892517_ASB3,1,4315,1,0.8999819,2337.616,0.3883961,0.2270198,1,0.8999819,0.8926201594422032,0.3883961,0.2270198,1
cg15135286_LTBP1,1,3463,1,0.7016792,2645.677,1.399027,0.2245959,1,0.7016792,1.3215227482199896,1.399027,0.2245959,1
cg15359390_REG1P,1,4093,1,0.6135549,2929.389,1.882,0.2273899,1,0.6135549,1.7165250733027597,1.882,0.2273899,1
cg15725733_AGAP1,1,4123,1,0.6081516,2921.252,1.911859,0.2276834,1,0.6081516,1.7051962119250297,1.911859,0.2276834,1
cg15772133_LTBP1,1,3785,1,0.7024525,2643.618,1.403055,0.2279901,1,0.7024525,1.318656074313544,1.403055,0.2279901,1
cg15944856_C2orf66,1,4171,1,0.8205129,2452.502,0.7993712,0.2274091,1,0.8205129,1.0525719313780364,0.7993712,0.2274091,1
cg16226586_HDAC4,1,4273,1,0.6663441,2736.907,1.611909,0.2274775,1,0.6663441,1.4485390961971676,1.611909,0.2274775,1
cg16248554_GLI2,1,4009,1,0.6300111,2814.728,1.792506,0.227348,1,0.6300111,1.556886561021589,1.792506,0.227348,1
cg16336556_LTBP1,1,4146,1,0.7049979,2662.676,1.404982,0.2273236,1,0.7049979,1.3451898631960284,1.404982,0.2273236,1
cg16480662_TMEM198,1,4073,1,0.5972948,2963.434,1.96692,0.2277611,1,0.5972948,1.7639247397160343,1.96692,0.2277611,1
cg16572410_LTBP1,1,1386,1,0.6797945,2548.721,1.371672,0.2320934,1,0.6797945,1.1865342900979323,1.371672,0.2320934,1
cg16576213_CTNNA2,1,3970,1,0.5866073,3001.712,2.018748,0.2278598,1,0.5866073,1.81721786443236,2.018748,0.2278598,1
cg16925003_PXDN,1,4059,1,0.5951745,2971.622,1.977412,0.2277168,1,0.5951745,1.7753246066154873,1.977412,0.2277168,1
cg17050941_LOC150622,1,3984,1,0.6301684,2810.841,1.791298,0.2273577,1,0.6301684,1.5514748264541516,1.791298,0.2273577,1
cg17088180_BCL2L11,1,3722,1,0.8877394,2272.357,0.4525865,0.2275123,1,0.8877394,0.8017623292038752,0.4525865,0.2275123,1
cg17297628_LTBP1,1,4321,1,0.7058708,2666.408,1.406151,0.2273453,1,0.7058708,1.3503857966680313,1.406151,0.2273453,1
cg17320185_C2orf66,1,3945,1,0.819952,2444.942,0.7986507,0.2264299,1,0.819952,1.0420464069813746,0.7986507,0.2264299,1
cg17751550_ICOS,1,4201,1,0.8427584,2409.463,0.6856446,0.2273671,1,0.8427584,0.9926502323690511,0.6856446,0.2273671,1
cg18219180_ICOS,1,3544,1,0.8385093,2394.245,0.6803038,0.2266453,1,0.8385093,0.9714627415928072,0.6803038,0.2266453,1
cg18228933_HDAC4,1,4228,1,0.6234527,2864.817,1.835662,0.2273749,1,0.6234527,1.6266237292100014,1.835662,0.2273749,1
cg18310515_GNLY,1,4293,1,0.8631695,2368.264,0.5804802,0.2267826,1,0.8631695,0.9352903012026391,0.5804802,0.2267826,1
cg18538138_LTBP1,1,3631,1,0.7021335,2584.022,1.398427,0.2281403,1,0.7021335,1.2356826415167896,1.398427,0.2281403,1
cg18658787_LTBP1,1,4423,1,0.7066157,2736.604,1.409032,0.2261367,1,0.7066157,1.4481172398622215,1.409032,0.2261367,1
cg19393314_HDAC4,1,4162,1,0.6566584,2746.572,1.658962,0.2275482,1,0.6566584,1.4619953386963391,1.658962,0.2275482,1
cg19610253_CCDC74B,1,4070,1,0.5648327,3110.151,2.137759,0.2277009,1,0.5648327,1.968193703063262,2.137759,0.2277009,1
cg20417128_PXDN,1,4035,1,0.6309575,2817.287,1.789709,0.2276063,1,0.6309575,1.5604493674939508,1.789709,0.2276063,1
cg20553016_SH3BP4,1,4102,1,0.6599315,2736.383,1.6392,0.2277149,1,0.6599315,1.4478095492680865,1.6392,0.2277149,1
cg20944278_C2orf66,1,1037,1,0.8393665,2009.17,0.7496192,0.2311247,1,0.8393665,0.43533624595198955,0.7496192,0.2311247,1
cg20948956_LTBP1,1,3451,1,0.7006279,2627.924,1.398722,0.2276864,1,0.7006279,1.2968058653345478,1.398722,0.2276864,1
cg21135616_HDAC4,1,4154,1,0.6236008,2852.449,1.832191,0.2276312,1,0.6236008,1.6094041940594837,1.832191,0.2276312,1
cg21240950_IMP4,1,4201,1,0.6239719,2857.759,1.831839,0.2275231,1,0.6239719,1.6167971219095199,1.831839,0.2275231,1
cg21423458_ICOS,1,4067,1,0.8427486,2398.373,0.6875788,0.2268551,1,0.8427486,0.9772100120570165,0.6875788,0.2268551,1
cg21441730_LTBP1,1,4054,1,0.7046597,2655.637,1.402902,0.2274225,1,0.7046597,1.3353897089330522,1.402902,0.2274225,1
cg21473183_GNLY,1,865,1,0.878083,1872.861,0.5281708,0.233752,1,0.878083,0.24555797809688537,0.5281708,0.233752,1
cg21843347_LTBP1,1,4108,1,0.7048757,2654.479,1.403483,0.2278053,1,0.7048757,1.3337774659103885,1.403483,0.2278053,1
cg21964611_ZNF2,1,4206,1,0.8748718,2344.321,0.5160007,0.227641,1,0.8748718,0.9019552971511473,0.5160007,0.227641,1
cg22648929_PXDN,1,3921,1,0.5912942,2975.742,1.991491,0.2278781,1,0.5912942,1.7810607389586421,1.991491,0.2278781,1
cg22827324_LTBP1,1,3857,1,0.7048307,2608.172,1.403638,0.2233751,1,0.7048307,1.269305844450571,1.403638,0.2233751,1
cg23572334_ZNF2,1,3952,1,0.8734212,2338.388,0.5162282,0.2273878,1,0.8734212,0.8936949881239786,0.5162282,0.2273878,1
cg24351977_LTBP1,1,4246,1,0.7057258,2663.237,1.405071,0.2273591,1,0.7057258,1.3459709239349873,1.405071,0.2273591,1
cg24620635_GNLY,1,3930,1,0.8615266,2379.508,0.5828513,0.2264047,1,0.8615266,0.9509449303449755,0.5828513,0.2264047,1
cg24675770_LTBP1,1,4258,1,0.7057206,2661.516,1.404959,0.2274217,1,0.7057206,1.3435748356431017,1.404959,0.2274217,1
cg24980995_DIRC3,1,4326,1,0.6302589,2849.104,1.803607,0.2273515,1,0.6302589,1.6047470671935,1.803607,0.2273515,1
cg25161429_AGAP1,1,4130,1,0.6688942,2718.382,1.592792,0.2277335,1,0.6688942,1.4227473846299503,1.592792,0.2277335,1
cg25164450_HDAC4,1,4254,1,0.6346506,2815.009,1.777322,0.2273884,1,0.6346506,1.557277787523634,1.777322,0.2273884,1
cg25685524_CCDC74B,1,4188,1,0.6987966,2667.293,1.438602,0.2275078,1,0.6987966,1.3516179513097044,1.438602,0.2275078,1
cg26672287_LTBP1,1,4173,1,0.7054006,2661.964,1.404873,0.227385,1,0.7054006,1.344198570422163,1.404873,0.227385,1
cg27254040_NRXN1,1,4146,1,0.6189473,2876.703,1.85782,0.2277635,1,0.6189473,1.6431721925669753,1.85782,0.2277635,1
cg27366866_LTBP1,1,3955,1,0.7038254,2661.93,1.404591,0.2272734,1,0.7038254,1.3441512334076804,1.404591,0.2272734,1
cg27591920_BCL2L11,1,4050,1,0.8844359,2335.787,0.464787,0.2250419,1,0.8844359,0.8900737065160793,0.464787,0.2250419,1
cg00097432_ZBTB20,1,4209,1,0.7858345,2510.532,0.9832456,0.2273283,1,0.7858345,1.1333650769783397,0.9832456,0.2273283,1
cg00262061_CX3CR1,1,4380,1,0.8484036,2414.091,0.6628521,0.2247026,1,0.8484036,0.9990936353991765,0.6628521,0.2247026,1
cg00375025_KCNAB1,1,4339,1,0.9201795,2257.147,0.2819761,0.22733,1,0.9201795,0.7805859765486863,0.2819761,0.22733,1
cg00503690_LRIG1,1,4217,1,0.6385077,2789.079,1.756371,0.2274599,1,0.6385077,1.5211763526551896,1.756371,0.2274599,1
cg00695821_KCNAB1,1,4401,1,0.9206632,2255.209,0.2824207,0.227157,1,0.9206632,0.7778877667231927,0.2824207,0.227157,1
cg00742851_LRRN1,1,4351,1,0.8134727,2465.983,0.8432032,0.2273237,1,0.8134727,1.0713410576202853,0.8432032,0.2273237,1
cg01310029_IL5RA,1,4351,1,0.5894884,3047.383,2.019493,0.2272352,1,0.5894884,1.8808040052683315,2.019493,0.2272352,1
cg01394385_CX3CR1,1,4181,1,0.8472496,2396.622,0.6596895,0.2271678,1,0.8472496,0.9747721558111756,0.6596895,0.2271678,1
cg01442531_LRRN1,1,4276,1,0.8130196,2466.02,0.8423124,0.2271408,1,0.8130196,1.0713925714301629,0.8423124,0.2271408,1
cg01953156_ABHD6,1,4080,1,0.9045455,2284.01,0.3573661,0.2263978,1,0.9045455,0.8179863947851324,0.3573661,0.2263978,1
cg02039271_KCNAB1,1,4367,1,0.9205144,2255.465,0.2813412,0.22739,1,0.9205144,0.7782441865969426,0.2813412,0.22739,1
cg02132593_ZBTB20,1,3380,1,0.7796424,2493.433,0.9765117,0.2282766,1,0.7796424,1.109558735489117,0.9765117,0.2282766,1
cg02147465_ZBTB20,1,4126,1,0.7853026,2504.891,0.9821358,0.227573,1,0.7853026,1.1255113093696665,0.9821358,0.227573,1
cg02255107_OXNAD1,1,4242,1,0.8877535,2320.356,0.4495079,0.2275038,1,0.8877535,0.8685896632667559,0.4495079,0.2275038,1
cg02331784_ZBTB20,1,4385,1,0.7866167,2518.196,0.9855327,0.2270928,1,0.7866167,1.144035396948712,0.9855327,0.2270928,1
cg02564299_ZBTB20,1,4451,1,0.786669,2522.765,0.9876205,0.2270682,1,0.786669,1.1503966563360597,0.9876205,0.2270682,1
cg02696971_CBLB,1,4306,1,0.8750717,2367.875,0.5202496,0.2273415,1,0.8750717,0.9347487100663557,0.5202496,0.2273415,1
cg03015144_ZBTB20,1,4083,1,0.7849644,2514.414,0.9845071,0.2276618,1,0.7849644,1.1387698502201178,0.9845071,0.2276618,1
cg03280839_LRRN1,1,4389,1,0.8133677,2524.051,0.8449245,0.2268563,1,0.8133677,1.1521871092955978,0.8449245,0.2268563,1
cg03341748_KCNAB1,1,4352,1,0.9205827,2252.193,0.280637,0.2272204,1,0.9205827,0.7736886950855831,0.280637,0.2272204,1
cg03377396_ZBTB20,1,3982,1,0.7843189,2510.727,0.9810155,0.2278297,1,0.7843189,1.1336365686790468,0.9810155,0.2278297,1
cg03930929_LRRN1,1,4322,1,0.8132375,2468.775,0.8436723,0.2269505,1,0.8132375,1.0752282618683646,0.8436723,0.2269505,1
cg04002063_CBLB,1,4159,1,0.8743927,2340.58,0.5156215,0.2276388,1,0.8743927,0.8967468332929579,0.5156215,0.2276388,1
cg04150219_LRRN1,1,4327,1,0.8130783,2470.159,0.8437703,0.2271975,1,0.8130783,1.0771551568108224,0.8437703,0.2271975,1
cg04399108_ZBTB20,1,4246,1,0.7860506,2515.352,0.9829384,0.2271518,1,0.7860506,1.1400757949137772,0.9829384,0.2271518,1
cg04564000_ZBTB20,1,4284,1,0.7860984,2517.072,0.9861741,0.227103,1,0.7860984,1.1424704909405314,0.9861741,0.227103,1
cg04809093_ZBTB20,1,3932,1,0.7843579,2498.884,0.980389,0.2278386,1,0.7843579,1.117147972722742,0.980389,0.2278386,1
cg04879722_ZBTB20,1,4389,1,0.7865334,2545.977,0.9892296,0.2270331,1,0.7865334,1.1827139145761807,0.9892296,0.2270331,1
cg05046858_CX3CR1,1,4107,1,0.8468459,2399.014,0.6600778,0.2265767,1,0.8468459,0.978102454006522,0.6600778,0.2265767,1
cg05526341_LRIG1,1,4241,1,0.6072203,2944.521,1.920989,0.2274263,1,0.6072203,1.7375928292776657,1.920989,0.2274263,1
cg05544095_ZBTB20,1,4263,1,0.7859586,2519.598,0.9845742,0.2274798,1,0.7859586,1.1459873526635427,0.9845742,0.2274798,1
cg06225294_ZBTB20,1,4269,1,0.7860502,2581.807,0.9894433,0.2263666,1,0.7860502,1.2325987742497782,0.9894433,0.2263666,1
cg06289474_KCNAB1,1,4278,1,0.9201952,2253.483,0.27993,0.2275394,1,0.9201952,0.7754847171056485,0.27993,0.2275394,1
cg06798483_ST3GAL6,1,4361,1,0.6020111,2992.161,1.95377,0.2267653,1,0.6020111,1.8039203401582176,1.95377,0.2267653,1
cg07165288_ZBTB20,1,4375,1,0.7864123,2517.969,0.9862077,0.2271449,1,0.7864123,1.143719352763786,0.9862077,0.2271449,1
cg07317983_ZBTB20,1,4363,1,0.7866987,2518.65,0.9851135,0.2267583,1,0.7866987,1.1446674853185648,0.9851135,0.2267583,1
cg07704718_ABHD6,1,4401,1,0.9062138,2282.524,0.3583257,0.2269398,1,0.9062138,0.8159174887992272,0.3583257,0.2269398,1
cg07781701_CBLB,1,3340,1,0.8698458,2353.73,0.5123248,0.2258848,1,0.8698458,0.9150551197765697,0.5123248,0.2258848,1
